TS,MMDDYY,hhmmss,Temp_degC,Scond_us_cm,Sal_ppt,Depth_m,Battery volts,NAVD88 depth m
11/2/2018 8:30,11/2/2018,93106,18.19333,19.76467,11.82133,0.5721999,12.42873,0.1081999
11/2/2018 9:00,11/2/2018,100106,18.176,19.86667,11.88733,0.5029333,12.44384,0.0389333
11/2/2018 9:30,11/2/2018,103106,18.29867,19.61733,11.72467,0.4478,12.63104,-0.0162
11/2/2018 10:00,11/2/2018,110106,18.358,19.57734,11.69733,0.4458,13.0155,-0.0182
11/2/2018 10:30,11/2/2018,113106,18.354,19.80133,11.844,0.472,13.18003,0.008
11/2/2018 11:00,11/2/2018,120106,18.23133,20.00667,11.97733,0.5175333,13.23207,0.0535333
11/2/2018 11:30,11/2/2018,123106,18.39266,19.98867,11.964,0.5480667,13.20185,0.0840667
11/2/2018 12:00,11/2/2018,130106,18.534,19.96733,11.95,0.5320666,13.19682,0.0680666
11/2/2018 12:30,11/2/2018,133106,18.802,19.87667,11.89133,0.4953333,12.96681,0.0313333
11/2/2018 13:00,11/2/2018,140106,18.83134,19.91133,11.914,0.4916,12.93659,0.0276
11/2/2018 13:30,11/2/2018,143106,18.828,19.95066,11.93933,0.5294,13.039,0.0654
11/2/2018 14:00,11/2/2018,150106,18.966,19.92133,11.92133,0.5614,13.21109,0.0974
11/2/2018 14:30,11/2/2018,153106,19.094,19.862,11.87933,0.5735333,12.8879,0.1095333
11/2/2018 15:00,11/2/2018,160106,19.18,19.82667,11.856,0.5542,12.79725,0.0902
11/2/2018 15:30,11/2/2018,163106,19.25333,19.828,11.85733,0.5172001,12.64279,0.0532001
11/2/2018 16:00,11/2/2018,170106,19.25733,19.90933,11.90933,0.5204,12.63523,0.0564
11/2/2018 16:30,11/2/2018,173106,19.19933,19.91667,11.91667,0.5897333,12.59074,0.1257333
11/2/2018 17:00,11/2/2018,180106,19.17267,19.876,11.88867,0.6426,12.5664,0.1786
11/2/2018 17:30,11/2/2018,183105,19.30933,19.87,11.882,0.6117334,12.52443,0.1477334
11/2/2018 18:00,11/2/2018,190105,19.16867,19.93,11.924,0.5404,12.53282,0.0764
11/2/2018 18:30,11/2/2018,193105,19.11667,19.93867,11.93,0.4616,12.42537,-0.0024
11/2/2018 19:00,11/2/2018,200105,19.12,19.91133,11.914,0.4382667,12.4237,-0.0257333
11/2/2018 19:30,11/2/2018,203105,19.26,19.78867,11.83067,0.4848,12.39599,0.0208
11/2/2018 20:00,11/2/2018,210105,19.30866,19.65667,11.74467,0.5463333,12.40103,0.0823333
11/2/2018 20:30,11/2/2018,213105,19.29267,19.63067,11.728,0.5545999,12.47406,0.0905999
11/2/2018 21:00,11/2/2018,220105,19.25334,19.68133,11.76133,0.5297333,12.63943,0.0657333
11/2/2018 21:30,11/2/2018,223105,19.24933,19.79267,11.834,0.4942666,12.63775,0.0302666
11/2/2018 22:00,11/2/2018,230105,19.226,19.84867,11.87,0.4974,12.63943,0.0334
11/2/2018 22:30,11/2/2018,233105,19.04133,19.982,11.95867,0.5219333,12.63943,0.0579333
11/2/2018 23:00,11/3/2018,235905,19.22933,19.85533,11.87533,0.5629333,12.63859,0.0989333
11/2/2018 23:30,11/3/2018,3105,19.19133,19.88933,11.89733,0.5912666,12.63607,0.1272666
11/3/2018 0:00,11/3/2018,10105,19.05133,19.912,11.912,0.5980001,12.63691,0.1340001
11/3/2018 0:30,11/3/2018,13105,19.058,19.904,11.908,0.5636,12.63355,0.0996
11/3/2018 1:00,11/3/2018,20105,19.078,19.906,11.90667,0.5208667,12.63439,0.0568667
11/3/2018 1:30,11/3/2018,23105,19.104,19.88333,11.894,0.5086,12.63439,0.0446
11/3/2018 2:00,11/3/2018,30105,19.10333,19.89334,11.90067,0.5349333,12.63272,0.0709333
11/3/2018 2:30,11/3/2018,33105,19.13533,19.88,11.892,0.5976,12.63272,0.1336
11/3/2018 3:00,11/3/2018,40105,19.08467,19.876,11.89,0.5924,12.63104,0.1284
11/3/2018 3:30,11/3/2018,43105,19.036,19.87,11.88533,0.5052666,12.6302,0.0412666
11/3/2018 4:00,11/3/2018,50105,19.06533,19.81466,11.85067,0.4394667,12.63272,-0.0245333
11/3/2018 4:30,11/3/2018,53105,19.026,19.276,11.5,0.4253333,12.626,-0.0386667
11/3/2018 5:00,11/3/2018,60105,18.92333,19.06667,11.36533,0.4437333,12.62516,-0.0202667
11/3/2018 5:30,11/3/2018,63106,18.76733,19.84067,11.86733,0.4524,12.62264,-0.0116
11/3/2018 6:00,11/3/2018,70105,18.51467,19.98133,11.96,0.4288,12.62348,-0.0352
11/3/2018 6:30,11/3/2018,73105,18.44733,19.62667,11.73,0.4181333,12.37333,-0.0458667
11/3/2018 7:00,11/3/2018,80105,18.33267,19.362,11.55867,0.3916,12.36577,-0.0724
11/3/2018 7:30,11/3/2018,83105,18.19267,19.11133,11.396,0.3436,12.41698,-0.1204
11/3/2018 8:00,11/3/2018,90105,18.04733,19.06467,11.36733,0.2959333,12.78298,-0.1680667
11/3/2018 8:30,11/3/2018,93105,17.87067,19.356,11.55733,0.2726,13.25306,-0.1914
11/3/2018 9:00,11/3/2018,100105,17.72467,19.52467,11.66733,0.266,13.27321,-0.198
11/3/2018 9:30,11/3/2018,103105,17.696,19.51467,11.66067,0.2622667,13.2539,-0.2017333
11/3/2018 10:00,11/3/2018,110105,17.73,19.40267,11.588,0.2470667,13.23879,-0.2169333
11/3/2018 10:30,11/3/2018,113105,17.75667,19.42,11.59933,0.2413333,13.222,-0.2226667
11/3/2018 11:00,11/3/2018,120105,17.876,19.38067,11.572,0.2452667,13.21529,-0.2187333
11/3/2018 11:30,11/3/2018,123105,18.054,19.266,11.49666,0.2699333,13.21361,-0.1940667
11/3/2018 12:00,11/3/2018,130105,18.242,19.25,11.48533,0.3156,13.20353,-0.1484
11/3/2018 12:30,11/3/2018,133105,18.39133,19.152,11.422,0.3441333,13.20185,-0.1198667
11/3/2018 13:00,11/3/2018,140105,18.48933,19.134,11.41,0.3518,13.20689,-0.1122
11/3/2018 13:30,11/3/2018,143105,18.57,19.164,11.42933,0.3728,13.20437,-0.0912
11/3/2018 14:00,11/3/2018,150105,18.71667,19.04533,11.35133,0.4056667,13.21361,-0.0583333
11/3/2018 14:30,11/3/2018,153105,18.84467,19.132,11.40667,0.4232,13.22704,-0.0408
11/3/2018 15:00,11/3/2018,160105,18.88333,18.94733,11.28734,0.4510001,13.16408,-0.0129999
11/3/2018 15:30,11/3/2018,163105,18.89133,18.794,11.18867,0.4816667,12.77878,0.0176667
11/3/2018 16:00,11/3/2018,170105,18.87867,18.68267,11.11667,0.4876,12.70659,0.0236
11/3/2018 16:30,11/3/2018,173105,18.78733,18.65467,11.098,0.4637333,12.65118,-0.0002667
11/3/2018 17:00,11/3/2018,180105,18.674,18.90866,11.26267,0.4572667,12.61844,-0.0067333
11/3/2018 17:30,11/3/2018,183105,18.55334,18.876,11.24333,0.5015333,12.57144,0.0375333
11/3/2018 18:00,11/3/2018,190105,18.45133,18.776,11.17733,0.5438666,12.55884,0.0798666
11/3/2018 18:30,11/3/2018,193105,18.25333,18.71667,11.14067,0.5537333,12.58571,0.0897333
11/3/2018 19:00,11/3/2018,200105,18.17067,18.74067,11.15667,0.5325333,12.52527,0.0685333
11/3/2018 19:30,11/3/2018,203105,18.18267,19.06333,11.36533,0.5195333,12.49841,0.0555333
11/3/2018 20:00,11/3/2018,210105,18.13933,19.612,11.72267,0.5293334,12.49589,0.0653334
11/3/2018 20:30,11/3/2018,213106,18.068,19.72733,11.79667,0.5396,12.54206,0.0756
11/3/2018 21:00,11/3/2018,220105,17.99933,19.68067,11.766,0.5348666,12.71078,0.0708666
11/3/2018 21:30,11/3/2018,223105,17.934,19.73467,11.80133,0.5214,12.70827,0.0574
11/3/2018 22:00,11/3/2018,230105,17.924,19.75733,11.81667,0.5116667,12.70071,0.0476667
11/3/2018 22:30,11/3/2018,233106,17.86466,19.79934,11.844,0.5142667,12.69064,0.0502667
11/3/2018 23:00,11/4/2018,235905,17.78867,19.83667,11.87,0.5257333,12.68896,0.0617333
11/3/2018 23:30,11/4/2018,3105,17.71933,19.88933,11.90267,0.5277333,12.67888,0.0637333
11/4/2018 0:00,11/4/2018,10105,17.65733,19.91667,11.92066,0.5130666,12.67637,0.0490666
11/4/2018 0:30,11/4/2018,13105,17.56867,19.93867,11.936,0.4982667,12.67217,0.0342667
11/4/2018 1:00,11/4/2018,20105,17.466,19.95133,11.94267,0.4993333,12.66965,0.0353333
11/4/2018 1:30,11/4/2018,23105,17.43733,19.92734,11.928,0.5038668,12.66461,0.0398668
11/4/2018 2:00,11/4/2018,30105,17.45466,19.92733,11.92867,0.4965333,12.65706,0.0325333
11/4/2018 2:30,11/4/2018,33105,17.38733,19.96,11.948,0.4829333,12.65286,0.0189333
11/4/2018 3:00,11/4/2018,40105,17.33334,19.96667,11.952,0.4836,12.64531,0.0196
11/4/2018 3:30,11/4/2018,43105,17.32734,19.96933,11.954,0.4953334,12.63943,0.0313334
11/4/2018 4:00,11/4/2018,50105,17.296,19.992,11.97133,0.5012666,12.63775,0.0372666
11/4/2018 4:30,11/4/2018,53105,17.236,20.00933,11.984,0.5006,12.63439,0.0366
11/4/2018 5:00,11/4/2018,60105,17.12467,20.03134,11.99667,0.5022,12.63104,0.0382
11/4/2018 5:30,11/4/2018,63105,16.956,20.03934,12,0.5081334,12.62768,0.0441334
11/4/2018 6:00,11/4/2018,70105,16.846,20.03,11.996,0.524,12.62432,0.06
11/4/2018 6:30,11/4/2018,73105,16.80267,20.02533,11.99,0.5424,12.35906,0.0784
11/4/2018 7:00,11/4/2018,80105,16.74933,20.01934,11.99,0.5542666,12.36913,0.0902666
11/4/2018 7:30,11/4/2018,83105,16.77734,20.01266,11.98333,0.5588,13.38989,0.0948
11/4/2018 8:00,11/4/2018,90105,16.78067,20.03534,12,0.5634667,13.32609,0.0994667
11/4/2018 8:30,11/4/2018,93105,16.74067,20.024,11.99267,0.5682667,13.28748,0.1042667
11/4/2018 9:00,11/4/2018,100105,16.80667,20.03467,11.99866,0.5652667,13.25222,0.1012667
11/4/2018 9:30,11/4/2018,103105,16.82133,20.06,12.01933,0.5576,13.23543,0.0936
11/4/2018 10:00,11/4/2018,110105,16.95133,20.052,12.01,0.5545999,13.21696,0.0905999
11/4/2018 10:30,11/4/2018,113105,17.06267,20.01867,11.98933,0.5626001,13.20689,0.0986001
11/4/2018 11:00,11/4/2018,120105,17.18533,20.00867,11.98,0.5869333,13.1901,0.1229333
11/4/2018 11:30,11/4/2018,123105,17.34067,20.01,11.98,0.6152666,13.18423,0.1512666
11/4/2018 12:00,11/4/2018,130105,17.502,20.01,11.98,0.6246666,13.18507,0.1606666
11/4/2018 12:30,11/4/2018,133105,17.68466,20.014,11.984,0.6230667,13.17751,0.1590667
11/4/2018 13:00,11/4/2018,140105,17.836,20.024,11.99,0.6222667,13.17835,0.1582667
11/4/2018 13:30,11/4/2018,143105,17.948,20.05,12.00667,0.6251333,13.18423,0.1611333
11/4/2018 14:00,11/4/2018,150105,18.004,20.07333,12.02267,0.6253999,13.18507,0.1613999
11/4/2018 14:30,11/4/2018,153105,18.07933,20.08933,12.03066,0.6225999,13.20269,0.1585999
11/4/2018 15:00,11/4/2018,160105,18.044,20.118,12.05,0.6147999,13.02137,0.1507999
11/4/2018 15:30,11/4/2018,163105,18.006,20.13,12.06,0.6058667,12.86356,0.1418667
11/4/2018 16:00,11/4/2018,170105,17.966,20.146,12.06933,0.6014,12.72925,0.1374
11/4/2018 16:30,11/4/2018,173105,17.83,20.17,12.08533,0.6017333,12.69567,0.1377333
11/4/2018 17:00,11/4/2018,180105,17.662,20.16533,12.08067,0.6057333,12.60837,0.1417333
11/4/2018 17:30,11/4/2018,183105,17.49733,20.14334,12.06867,0.6084,12.57815,0.1444
11/4/2018 18:00,11/4/2018,190105,17.36533,20.114,12.05,0.6083333,12.56556,0.1443333
11/4/2018 18:30,11/4/2018,193105,17.29934,20.07067,12.02134,0.5994667,12.54373,0.1354667
